,item_id,dept_id
48,HOBBIES_1_049,HOBBIES_1
381,HOBBIES_1_390,HOBBIES_1
150,HOBBIES_1_155,HOBBIES_1
287,HOBBIES_1_296,HOBBIES_1
415,HOBBIES_1_424,HOBBIES_1
56,HOBBIES_1_057,HOBBIES_1
195,HOBBIES_1_202,HOBBIES_1
187,HOBBIES_1_193,HOBBIES_1
154,HOBBIES_1_159,HOBBIES_1
397,HOBBIES_1_406,HOBBIES_1
418,HOBBIES_2_003,HOBBIES_2
443,HOBBIES_2_028,HOBBIES_2
522,HOBBIES_2_107,HOBBIES_2
546,HOBBIES_2_131,HOBBIES_2
444,HOBBIES_2_029,HOBBIES_2
468,HOBBIES_2_053,HOBBIES_2
551,HOBBIES_2_136,HOBBIES_2
426,HOBBIES_2_011,HOBBIES_2
491,HOBBIES_2_076,HOBBIES_2
515,HOBBIES_2_100,HOBBIES_2
704,HOUSEHOLD_1_144,HOUSEHOLD_1
786,HOUSEHOLD_1_226,HOUSEHOLD_1
1082,HOUSEHOLD_1_527,HOUSEHOLD_1
1038,HOUSEHOLD_1_483,HOUSEHOLD_1
771,HOUSEHOLD_1_211,HOUSEHOLD_1
662,HOUSEHOLD_1_101,HOUSEHOLD_1
887,HOUSEHOLD_1_329,HOUSEHOLD_1
818,HOUSEHOLD_1_259,HOUSEHOLD_1
865,HOUSEHOLD_1_307,HOUSEHOLD_1
815,HOUSEHOLD_1_256,HOUSEHOLD_1
1241,HOUSEHOLD_2_145,HOUSEHOLD_2
1529,HOUSEHOLD_2_434,HOUSEHOLD_2
1562,HOUSEHOLD_2_467,HOUSEHOLD_2
1484,HOUSEHOLD_2_389,HOUSEHOLD_2
1229,HOUSEHOLD_2_133,HOUSEHOLD_2
1356,HOUSEHOLD_2_261,HOUSEHOLD_2
1521,HOUSEHOLD_2_426,HOUSEHOLD_2
1327,HOUSEHOLD_2_232,HOUSEHOLD_2
1155,HOUSEHOLD_2_059,HOUSEHOLD_2
1295,HOUSEHOLD_2_200,HOUSEHOLD_2
1627,FOODS_1_017,FOODS_1
1714,FOODS_1_105,FOODS_1
1676,FOODS_1_066,FOODS_1
1777,FOODS_1_169,FOODS_1
1782,FOODS_1_174,FOODS_1
1681,FOODS_1_071,FOODS_1
1783,FOODS_1_175,FOODS_1
1621,FOODS_1_011,FOODS_1
1745,FOODS_1_136,FOODS_1
1659,FOODS_1_049,FOODS_1
2149,FOODS_2_323,FOODS_2
2192,FOODS_2_366,FOODS_2
2002,FOODS_2_176,FOODS_2
2043,FOODS_2_217,FOODS_2
2145,FOODS_2_319,FOODS_2
1932,FOODS_2_106,FOODS_2
2153,FOODS_2_327,FOODS_2
2212,FOODS_2_386,FOODS_2
2082,FOODS_2_256,FOODS_2
1944,FOODS_2_118,FOODS_2
2403,FOODS_3_179,FOODS_3
2749,FOODS_3_525,FOODS_3
2883,FOODS_3_659,FOODS_3
2951,FOODS_3_729,FOODS_3
2979,FOODS_3_758,FOODS_3
2538,FOODS_3_314,FOODS_3
2629,FOODS_3_405,FOODS_3
2511,FOODS_3_287,FOODS_3
2442,FOODS_3_218,FOODS_3
2639,FOODS_3_415,FOODS_3
